time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:
2019-03-22_ioT12:47,32.8812304,-117.2377001,TRUE,0,2275.6064,394.18877,Outside,amenity
2019-03-22_ioT12:48,32.8812399,-117.23766359999999,TRUE,0,2273.3267,394.95478,Outside,amenity
2019-03-22_ioT12:49,32.8812399,-117.23766359999999,FALSE,0,2273.3267,394.95478,Outside,amenity
2019-03-22_ioT12:50,32.8812399,-117.23766359999999,FALSE,0,2273.3267,394.95478,Outside,amenity
2019-03-22_ioT12:51,32.8812399,-117.23766359999999,FALSE,0,2273.3267,394.95478,Outside,amenity
2019-03-22_ioT12:52,32.881159499999995,-117.23768659999999,TRUE,0,2270.2589,401.68738,Outside,amenity
2019-03-22_ioT12:53,32.881159499999995,-117.23768659999999,FALSE,0,2270.2589,401.68738,Outside,amenity
2019-03-22_ioT12:54,32.881159499999995,-117.23768659999999,FALSE,0,2270.2589,401.68738,Outside,amenity
2019-03-22_ioT12:55,32.881159499999995,-117.23768659999999,FALSE,0,2270.2589,401.68738,Outside,amenity
2019-03-22_ioT12:56,32.881159499999995,-117.23768659999999,FALSE,0,2270.2589,401.68738,Outside,amenity
2019-03-22_ioT12:57,32.8811594,-117.23768670000001,TRUE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT12:58,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT12:59,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:00,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:01,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:02,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:03,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:04,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:05,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:06,32.8811594,-117.23768670000001,FALSE,0,2270.2607,401.69259,Outside,amenity
2019-03-22_ioT13:07,32.88117630000001,-117.2376824,TRUE,0,2270.9447,400.24491,Outside,amenity
2019-03-22_ioT13:08,32.88117630000001,-117.2376824,FALSE,0,2270.9447,400.24491,Outside,amenity
2019-03-22_ioT13:09,32.88117630000001,-117.2376824,FALSE,0,2270.9447,400.24491,Outside,amenity
2019-03-22_ioT13:10,32.88117630000001,-117.2376824,FALSE,0,2270.9447,400.24491,Outside,amenity
2019-03-22_ioT13:11,32.88117630000001,-117.2376824,FALSE,0,2270.9447,400.24491,Outside,amenity
2019-03-22_ioT13:12,32.8811752,-117.2376588,TRUE,0,2269.0289,401.42941,Outside,amenity
2019-03-22_ioT13:13,32.8811752,-117.2376588,FALSE,0,2269.0289,401.42941,Outside,amenity
2019-03-22_ioT13:14,32.8811752,-117.2376588,FALSE,0,2269.0289,401.42941,Outside,amenity
2019-03-22_ioT13:15,32.8811752,-117.2376588,FALSE,0,2269.0289,401.42941,Outside,amenity
2019-03-22_ioT13:16,32.8811752,-117.2376588,FALSE,0,2269.0289,401.42941,Outside,amenity
2019-03-22_ioT13:17,32.8812043,-117.23766299999998,TRUE,0,2271.1199,398.42005,Outside,amenity
2019-03-22_ioT13:18,32.8812043,-117.23766299999998,FALSE,0,2271.1199,398.42005,Outside,amenity
2019-03-22_ioT13:19,32.8812043,-117.23766299999998,FALSE,0,2271.1199,398.42005,Outside,amenity
2019-03-22_ioT13:20,32.8812043,-117.23766299999998,FALSE,0,2271.1199,398.42005,Outside,amenity
2019-03-22_ioT13:21,32.8812043,-117.23766299999998,FALSE,0,2271.1199,398.42005,Outside,amenity
2019-03-22_ioT13:22,32.8812364,-117.2376959,TRUE,0,2275.6415,393.80018,Outside,amenity
2019-03-22_ioT13:23,32.8812364,-117.2376959,FALSE,0,2275.6415,393.80018,Outside,amenity
2019-03-22_ioT13:24,32.8812364,-117.2376959,FALSE,0,2275.6415,393.80018,Outside,amenity
2019-03-22_ioT13:25,32.8812364,-117.2376959,FALSE,0,2275.6415,393.80018,Outside,amenity
2019-03-22_ioT13:26,32.8812364,-117.2376959,FALSE,0,2275.6415,393.80018,Outside,amenity
2019-03-22_ioT13:27,32.8812004,-117.23769479999999,TRUE,0,2273.3741,397.34058,Outside,amenity
2019-03-22_ioT13:28,32.8812004,-117.23769479999999,FALSE,0,2273.3741,397.34058,Outside,amenity
2019-03-22_ioT13:29,32.8812004,-117.23769479999999,FALSE,0,2273.3741,397.34058,Outside,amenity
2019-03-22_ioT13:30,32.8812004,-117.23769479999999,FALSE,0,2273.3741,397.34058,Outside,amenity
2019-03-22_ioT13:31,32.8812004,-117.23769479999999,FALSE,0,2273.3741,397.34058,Outside,amenity
2019-03-22_ioT13:32,32.8812633,-117.23767600000001,TRUE,0,2275.7185,392.12188,Outside,amenity
2019-03-22_ioT13:33,32.8812633,-117.23767600000001,FALSE,0,2275.7185,392.12188,Outside,amenity
2019-03-22_ioT13:34,32.8812633,-117.23767600000001,FALSE,0,2275.7185,392.12188,Outside,amenity
2019-03-22_ioT13:35,32.8812633,-117.23767600000001,FALSE,0,2275.7185,392.12188,Outside,amenity
2019-03-22_ioT13:36,32.8812633,-117.23767600000001,FALSE,0,2275.7185,392.12188,Outside,amenity
2019-03-22_ioT13:37,32.881230800000004,-117.2377128,TRUE,0,2276.6249,393.5698,Outside,amenity
2019-03-22_ioT13:38,32.881230800000004,-117.2377128,FALSE,0,2276.6249,393.5698,Outside,amenity
2019-03-22_ioT13:39,32.881230800000004,-117.2377128,FALSE,0,2276.6249,393.5698,Outside,amenity
2019-03-22_ioT13:40,32.881230800000004,-117.2377128,FALSE,0,2276.6249,393.5698,Outside,amenity
2019-03-22_ioT13:41,32.881230800000004,-117.2377128,FALSE,0,2276.6249,393.5698,Outside,amenity
2019-03-22_ioT13:42,32.881230800000004,-117.2377128,FALSE,0,2276.6249,393.5698,Outside,amenity
2019-03-22_ioT13:43,32.8812418,-117.2376837,TRUE,0,2275.0145,393.83977,Outside,amenity
2019-03-22_ioT13:44,32.8812418,-117.2376837,FALSE,0,2275.0145,393.83977,Outside,amenity
2019-03-22_ioT13:45,32.8812418,-117.2376837,FALSE,0,2275.0145,393.83977,Outside,amenity
2019-03-22_ioT13:46,32.8812418,-117.2376837,FALSE,0,2275.0145,393.83977,Outside,amenity
2019-03-22_ioT13:47,32.8812418,-117.2376837,FALSE,0,2275.0145,393.83977,Outside,amenity
2019-03-22_ioT13:48,32.881242300000004,-117.23770060000001,TRUE,0,2276.3672,393.01311,Outside,amenity
2019-03-22_ioT13:49,32.881242300000004,-117.23770060000001,FALSE,0,2276.3672,393.01311,Outside,amenity
2019-03-22_ioT13:50,32.881242300000004,-117.23770060000001,FALSE,0,2276.3672,393.01311,Outside,amenity
2019-03-22_ioT13:51,32.881242300000004,-117.23770060000001,FALSE,0,2276.3672,393.01311,Outside,amenity
2019-03-22_ioT13:52,32.8812457,-117.23765459999998,TRUE,0,2272.9753,394.81545,Outside,amenity
2019-03-22_ioT13:53,32.8812457,-117.23765459999998,FALSE,0,2272.9753,394.81545,Outside,amenity
2019-03-22_ioT13:54,32.8812457,-117.23765459999998,FALSE,0,2272.9753,394.81545,Outside,amenity
2019-03-22_ioT13:55,32.8812457,-117.23765459999998,FALSE,0,2272.9753,394.81545,Outside,amenity
2019-03-22_ioT13:56,32.8812457,-117.23765459999998,FALSE,0,2272.9753,394.81545,Outside,amenity
2019-03-22_ioT13:57,32.8812302,-117.2377044,TRUE,0,2275.9309,394.01143,Outside,amenity
2019-03-22_ioT13:58,32.8812302,-117.2377044,FALSE,0,2275.9309,394.01143,Outside,amenity
2019-03-22_ioT13:59,32.8812302,-117.2377044,FALSE,0,2275.9309,394.01143,Outside,amenity
2019-03-22_ioT14:00,32.8812302,-117.2377044,FALSE,0,2275.9309,394.01143,Outside,amenity
2019-03-22_ioT14:01,32.8812302,-117.2377044,FALSE,0,2275.9309,394.01143,Outside,amenity
2019-03-22_ioT14:02,32.881196700000004,-117.23768740000001,TRUE,0,2272.5705,398.03697,Outside,amenity
2019-03-22_ioT14:03,32.881196700000004,-117.23768740000001,FALSE,0,2272.5705,398.03697,Outside,amenity
2019-03-22_ioT14:04,32.881196700000004,-117.23768740000001,FALSE,0,2272.5705,398.03697,Outside,amenity
2019-03-22_ioT14:05,32.881196700000004,-117.23768740000001,FALSE,0,2272.5705,398.03697,Outside,amenity
2019-03-22_ioT14:06,32.881196700000004,-117.23768740000001,FALSE,0,2272.5705,398.03697,Outside,amenity
